نام دامنه,پسوند (TLD),وضعیت,قیمت ثبت ۱ ساله در ایران‌سرور (تومان),قیمت تمدید سال‌های بعد در ایران‌سرور (تومان),نوع تعرفه تمدید,توضیحات وضعیت
bartan.tennis,.tennis,آزاد (قابل خرید),"17,640,000","17,640,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.theater,.theater,آزاد (قابل خرید),"4,536,000","18,440,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.theatre,.theatre,آزاد (قابل خرید),"173,376,000","173,376,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.tickets,.tickets,آزاد (قابل خرید),"136,080,000","136,080,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.tienda,.tienda,آزاد (قابل خرید),"2,268,000","16,763,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tips,.tips,آزاد (قابل خرید),"3,344,000","8,754,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tires,.tires,آزاد (قابل خرید),"3,344,000","25,684,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.today,.today,آزاد (قابل خرید),"992,000","8,335,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tools,.tools,آزاد (قابل خرید),"4,016,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.top,.top,آزاد (قابل خرید),"869,000","1,437,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tours,.tours,آزاد (قابل خرید),"2,268,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.town,.town,آزاد (قابل خرید),"2,268,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.toys,.toys,آزاد (قابل خرید),"4,536,000","18,346,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.trade,.trade,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
